,roberta_neg,roberta_neu,roberta_pos
67afe60d31,-0.48950583,-0.06631899,0.7943307
17d18ba9ef,-2.5287678,0.0238415,3.1043286
ab57d75f20,2.3216128,-0.12772425,-1.9944097
f0acd25d8e,2.8222418,-0.16881663,-2.503792
cf3b068b03,-1.8105345,0.23449968,1.8848639
d6c34fa875,-1.1992304,1.7218792,-0.266489
614aed9113,2.418482,-0.07623313,-2.2167397
dfa577d3c1,-2.7146757,1.0179734,1.9281455
10dcbe4dfb,-2.9379053,1.0511622,2.272862
a0bfb12773,-2.2074046,0.27981162,2.3693056
71f4a9b495,0.3382442,0.42862332,-0.7621695
d33ed264b3,1.2600286,0.64629674,-1.8810767
77f88ea9e2,-0.12698556,0.7604692,-0.53210026
fe1deac869,-2.877038,-0.30847478,3.8556654
e591a725ef,0.7866961,1.2584121,-1.9926776
2dbb28cc29,0.89256996,0.78425,-1.672568
a7e4ad250a,-0.4913678,1.2879863,-0.742166
7d87899024,2.9609685,-0.5047449,-2.3488002
461b51fa58,-1.6806056,0.24635892,1.6757628
c31d79c440,1.0879508,-0.07362375,-0.89902586
32ee7ef6c2,-2.1486933,-0.8243767,3.7067094
29f805a7d2,-0.058019634,1.3356042,-1.2043082
d41fe360e4,0.3301596,0.44099796,-0.7089507
a04c8c8695,1.6076189,0.792829,-2.4653838
25e42b2bf2,-1.1528955,-0.26627916,1.8956254
5843d17b1d,-2.953409,-0.038807154,3.810575
474d10ff48,1.9671559,0.14612268,-2.1481242
38e69da3a1,-2.4691098,1.7938533,0.88530594
972dc5787d,-1.7468679,1.0944915,0.8726496
0ba6aaf9aa,1.5715477,0.5205133,-2.2027617
7a81537034,3.1337042,-0.49564606,-2.6332645
311d2b185b,2.5760608,-0.08089994,-2.370862
1e46d72ec6,-0.3964645,0.8204918,-0.218885
390f169584,-0.6926155,1.5565948,-0.78644246
58129e4130,-2.95937,-0.31901282,3.8737588
e6c9e5e3ab,-0.5880591,1.0029489,-0.23343417
cb5e709de8,-3.3701172,1.6370927,1.9656215
a14b4ff440,-2.375074,-0.9792365,4.1920924
5d57a5eda2,-3.2043056,0.20036463,3.360227
1e3561e921,0.47173905,0.63244534,-0.91931856
c2ea5cb58b,2.6515198,-0.13065434,-2.6085763
cde0016d6d,1.9389541,-0.09560683,-1.8900226
5fc411e8d1,-0.28238994,0.79956734,-0.22952887
5ffb19ae8f,-1.3244598,1.6999115,-0.19448179
76da985a47,1.9974627,0.36578816,-2.486754
3a98aa4762,-2.5254567,-0.73855853,3.9095144
886545bbab,-1.5020329,0.8444015,1.1588378
2afe118dc3,0.673217,0.6261408,-1.1817753
704c53f4cf,-2.8954146,-0.60572344,4.110841
71fa60d9ff,0.31464225,-0.124769464,-0.0058668703
c238c4dbb7,-0.8281887,0.20522238,1.06747
dc73e85417,0.38369238,0.8506624,-1.3679234
af63915fa9,-0.8523232,1.8931968,-0.99569476
eb2fc4d281,-2.320669,0.8640244,1.7071491
f9382a1f7b,-0.86088604,0.25340712,0.95787615
54670ca807,1.8109019,0.47662193,-2.3437972
3ab338c459,-2.7156909,-0.4019956,3.6857545
c7c7f7f025,0.9628925,0.57199115,-1.6012107
1256e6a4d2,-0.77993065,0.8628023,0.06474628
990cdeae87,-2.5972965,0.44029164,2.578931
9a55d83c79,-1.0065013,1.0438074,0.17270705
c8307a482d,0.3745007,1.2508736,-1.4655932
0a21b662a4,-1.7257141,0.6432607,1.36884
297f7d9e0f,1.4722583,0.20658995,-1.5541257
68901906a4,0.80919623,0.2157048,-1.0195546
3112944847,0.3079791,0.5272101,-0.683422
8f8334ffa2,-1.9097033,1.7369592,0.29867262
322546026e,-3.2159028,0.6863208,2.836938
e6c154f9be,1.0061498,0.5214021,-1.4276688
e96d849b35,-2.5987606,0.026114762,3.0847912
124e30d941,-1.9799984,0.22447516,2.12472
fbb5742bbb,-0.071603656,1.3640348,-1.2999414
e90acf3c42,-1.7240393,0.6911518,1.2222854
0b0944285d,0.619387,0.50866616,-1.05489
a11da2d3bf,-0.7318484,0.8741436,0.08134242
161bfc7c8a,-1.5925925,0.83339626,0.6484663
4a65010643,0.5419007,0.5249244,-1.0616982
1b460c82f0,1.4894779,0.1380692,-1.6213778
43e91a5488,-2.8342357,-0.03594561,3.4832184
410dd99aa3,0.4484034,0.19086275,-0.6250616
b3eadfc565,-2.3532796,0.347147,2.5127978
480894125b,-2.1596074,0.21459956,2.660174
001617fca4,0.010114353,0.22831085,0.13092376
52f2f23473,-3.4487548,0.9212016,2.4964228
e7e27b0c91,-2.759853,0.55208504,2.7409158
834dc73c0c,-2.0141206,2.1017313,-0.024819352
aeb0e9d730,0.31006736,1.1516442,-1.2773622
c672c9da1d,-2.4854655,1.6352282,0.94271195
cbee1946d3,-1.763844,-0.023722284,2.1525664
b1999f0951,1.5815362,0.4353478,-1.9043661
25510fbf89,-1.7945532,-0.8339248,3.494591
bcb9426abb,-2.4729276,0.34533632,2.5400815
0d29624200,-0.39483663,0.7366228,-0.33497316
3f0f5891ab,-2.383388,-0.5873745,3.6509788
0b34e66ea3,2.9146109,-0.26634413,-2.6295695
11de8c0456,1.5202703,0.32506156,-1.9568743
d5712716e9,-2.4343913,0.33274466,2.4669504
3f90f95beb,-1.7787379,0.15827045,2.1135626
c108e09b19,1.7245934,0.398758,-2.2780914
7223fdccc2,-2.0029616,0.09582928,2.3096266
f254748cdb,-2.6271467,-0.44879913,3.5963259
256453d14f,-2.3793411,-0.073016204,3.042347
8fd01857a9,-2.5693312,1.0865405,1.7264684
37227c0dbf,1.7098489,0.18452992,-1.8514045
20aff2fcb1,0.009046838,0.5680368,-0.44499093
ca223af36e,-3.1221986,0.24333031,3.3068433
90977e9614,-1.9972532,-0.328726,2.9758918
433b1ab9ea,-2.7687354,-0.27370757,3.720727
37771d1bc1,-1.5544387,1.2663467,0.21313104
fa99046452,-1.1312659,-0.069698915,1.4789053
14760477ad,0.7881895,0.5276891,-1.1325134
da908a6635,2.3122525,-0.14697346,-2.2676847
2053a455e9,-0.2539215,0.33293396,0.074007936
1ea547383b,-2.5862095,-0.8237333,4.0934734
6634c62acf,-2.2823534,0.9629783,1.8256333
c7240790da,-2.59472,0.01174682,3.0776756
08ede23635,-2.5100164,-0.035970986,3.0896175
4e87dcff0e,-0.8252896,1.786653,-0.8867074
4b0b53bc98,2.4197206,-0.37375087,-2.0324454
fd3a622954,-3.564332,1.6166319,2.1655412
e34af4fd97,-2.2070673,-0.8621134,4.0611544
0e8aa10a4e,-1.0327839,0.33188123,0.9045424
29148dc95c,-2.1856546,-0.5236538,3.3909693
56a15cf6ca,0.48898554,0.009492382,-0.4061853
b99969c2fb,-0.6374224,1.7102783,-1.0789083
b0f3142cb4,-2.7607617,0.6411042,2.6709242
5ff525b74b,1.788269,0.08665919,-1.9320627
4fd80e66e0,-0.61498386,1.5692166,-1.0032829
e77a8f8f2d,2.956501,-0.64732134,-2.3023405
4ea7102112,-2.5532818,0.473921,2.4687967
6a14956779,0.18636966,1.399814,-1.4184266
7c2fcb712e,-0.044298705,1.1383623,-0.93296707
cdd172d6a7,-2.2029152,-0.07308178,2.6674337
d2a21b3cb7,-1.2300282,0.59999055,0.76313156
799e17e7a7,-2.7201657,0.27605486,2.999825
0a49cdbdf6,1.1105027,0.31169593,-1.2197613
4a13c1093d,1.7633967,-0.15151004,-1.6257234
9407ce6ccc,-0.9176145,0.9602375,0.09127111
820f19ca44,1.4627496,0.050557934,-1.6314713
683bb73c09,-1.9732271,1.5373797,0.7030814
0d14593b11,-3.2512693,0.0060637817,3.5527387
9ac13b3739,2.7775233,-0.53013647,-2.2830691
16ee71e6df,1.7410549,0.25155866,-2.1375399
f5d47f04f5,0.9570691,0.6964697,-1.683849
e131c496a2,-0.67051375,0.06654007,0.76915985
bc6d7b4364,-0.19460341,0.37231135,-0.062747225
c87be630b5,0.07100806,0.35471946,-0.3085855
e4ad1684bb,-1.2356378,0.14635828,1.2683469
f7835156a5,-2.2575908,0.30981362,2.5527225
03bb148b87,0.35095876,0.01085002,-0.15108785
b47c430fda,0.19090723,1.361731,-1.649764
0234e16010,-3.2286615,0.694776,2.9264877
be9ed19513,-3.0689516,-0.33846712,3.9771433
bf7240df91,-0.6313485,1.7620008,-0.96039546
2f883c6eb1,1.8366606,0.4331234,-2.2654219
a1320a5050,-1.6865458,2.0609272,-0.4123796
d72a60bee8,-0.4338128,1.5581331,-1.1411474
bc9ebe0002,3.2158713,-0.7899216,-2.2288563
64ddc1f8a2,2.6483831,-0.26365063,-2.3665376
03f6b8d900,1.6734805,0.41878283,-2.0968509
2d475b1b23,2.7905567,-0.23642965,-2.5633092
87473f5175,0.5603284,0.41716367,-0.61442274
7a09871d21,-1.5577433,1.6864626,-0.11531686
96ec2855e4,-3.1202223,0.6362133,2.8442035
45cf9ba329,-0.4411636,0.31202936,0.29921195
bab68144cd,-0.25276795,1.660551,-1.275747
fc49e426f5,-2.5605614,0.0899778,3.0773683
a172818c9e,-1.9432333,-0.097955495,2.4263105
036191bb61,-1.521093,-0.02693338,1.933081
3ef85c201c,2.9006035,-0.40582687,-2.2396736
ea348ea738,-1.2579172,0.61877215,0.65047705
fd10f463c9,2.182022,0.049150094,-2.502544
e6e02e1be6,-3.0487213,-0.24905123,3.8242753
8112c62d00,0.5988577,0.41317636,-0.81483763
0f89951346,2.064566,0.15571372,-2.1873298
f3ec0395b0,-1.2502198,-0.052825462,1.7851162
37ffa83550,-2.9984848,-0.31306708,4.0151086
cb8c730261,-2.464173,0.13833384,2.9050736
be33b5cb9a,0.5733423,0.603276,-1.1806899
4fed31099f,2.214806,-0.23763068,-2.0355895
de288eb45b,1.8019426,0.872499,-2.6384149
7ab82d9fda,-3.1638055,-0.04895401,3.7276535
9d8a45d308,3.0371432,-0.50987184,-2.4569445
d25c4179f6,0.6184574,0.3918714,-0.9978615
6cd35dd82e,-2.9762564,0.7765287,2.3470793
65275b51e2,1.7385402,0.26075208,-2.0123534
9fae9e3145,-2.7100673,0.7792395,2.2032514
e515132ae4,-1.2738106,-0.08379899,1.6374696
df3c7485ae,-1.0930914,0.34928524,0.94509256
bd8ba2ad7e,-2.0003977,-0.4190268,3.0785918
58be40735c,2.6553283,-0.35456777,-2.4489498
b5a0a16fd7,-2.1058655,2.0482218,0.27369478
044f146e5c,-2.334879,-0.92571044,4.1105847
a8e17db0cc,1.8323023,0.58027285,-2.4111838
abda0ac082,-2.0239844,1.397333,0.7783462
b01506af48,1.7214761,0.2965238,-2.042716
53969f2468,3.3326743,-0.76076937,-2.5746427
4df63939ef,1.1958556,0.57923937,-1.5437616
f43efa3560,-1.812243,-0.12428059,2.5872893
c89e41fc7c,-2.2213023,1.4325335,0.76296747
b9ec075666,-2.6348734,0.4958923,2.4936705
ca333e378d,2.1998236,-0.20743826,-2.0494504
5a91b175f6,-1.0782306,0.83693624,0.49979714
ac00adda49,2.4267135,-0.2755255,-2.117385
cf9dc7479a,-0.91319877,0.80031997,0.3269891
005e2e60d3,0.9850039,0.9171899,-1.962906
0b1fad03e9,-1.3170065,1.0187289,0.4392551
2c72a5582a,-0.7774827,0.52637863,0.35541633
af0778ed50,-0.74765027,0.3456607,0.5227731
1e0416ec46,-3.1221962,0.5618479,2.9948547
1e6f72ea44,3.248306,-0.5983862,-2.7211847
cc930f7aa8,-3.3206193,0.41547102,3.1481438
9c202174a3,-1.4391384,1.31143,0.19403994
b9a1df7a8a,1.1635871,0.4990337,-1.4697483
7b3132d3cc,0.32382822,1.166651,-1.4189838
5f80970983,-1.1652443,1.903108,-0.41233876
f008d91039,-2.7635612,1.0587265,2.0148494
c223721eed,2.1194289,-0.25355297,-1.8509008
7f8a3308f8,-2.7683396,0.7043903,2.2571254
3f7adda0a4,-0.89821684,0.35268164,0.73041666
6c60cf0bb2,1.5851481,0.42154342,-1.7502724
f77651be05,2.5460365,0.028033152,-2.7243135
aff740a028,-2.5361438,-0.7735776,4.2486267
c3f1116734,1.0605512,0.36029333,-1.328683
4b57011c85,-0.27307415,1.3142793,-0.8417213
cb4266c560,-0.7350114,0.46495098,0.5912049
dcb3bb2912,0.04309052,0.78769577,-0.7269799
f61b40624e,-2.6056619,0.946281,2.0747523
b6d2229b03,-0.036802117,0.48569632,-0.24191579
299fda8c5b,-1.0388271,0.89007545,0.4366637
fbea09d42d,1.336992,0.27198857,-1.6989979
1b62e0c672,2.408109,-0.3573016,-1.9430795
2452a0aa6a,-2.4183164,-0.054623574,2.8797283
8a821c6d63,-2.3880825,0.2920876,2.655168
0f93ebfb23,-2.7894614,0.68001246,2.636948
dd655c5aee,-2.2885082,-0.4154846,3.1215973
e94ceb6edd,-2.5436316,1.721998,0.65538263
61e8b484df,2.5499105,-0.12552123,-2.3787127
5be41389ce,1.4817133,0.5203947,-2.140784
bd0f0ebc57,0.053087365,0.7238638,-0.61481524
772ba56ce6,-2.5702293,-0.5216805,3.8018665
390f00c85a,0.9339579,0.684706,-1.6201853
4a680661d5,-3.2447162,0.24137373,3.5748744
e2505e6219,-3.4288864,0.7275281,2.820421
0d85e6d515,-3.014221,0.91578645,2.3012557
086671fad9,-0.15621293,0.4212013,-0.15536654
9c99cd9396,-2.3038516,0.24940403,2.5274696
f35cc8bb35,1.9262086,0.503055,-2.587902
5ba64af2fd,2.4412518,-0.3963108,-2.0562413
dbd82ea5bd,-1.4127469,0.28211087,1.8164473
8b6c53f38b,-2.3711755,-0.5535397,3.755545
e8cb7f18bd,-2.5215425,-0.11301623,3.2040067
9ea273deaa,1.1436987,0.67906845,-1.7545543
cf0d831059,-1.2549024,1.9913809,-0.53114533
8f0bafc9dc,-1.7421472,0.7498323,1.3211222
0888d7dab7,-1.7914852,1.1932138,0.6944603
04d3c2d056,-1.7382824,1.2802613,0.5104625
8bbaca6e4b,-1.0080731,-0.30701607,1.7860289
4a9529e753,0.1263143,0.8726845,-0.8387253
8be2d4f69f,-2.2335715,-0.8500724,4.1282606
d9c10546e6,2.7902722,-0.3313293,-2.4437861
90be8eaffb,-0.6726782,0.37597102,0.3533839
8ba332dbbd,-1.9609853,1.0043044,1.0830518
1086c26e82,-2.6969366,-0.4658395,4.026149
b357b9e7d2,-2.4193807,-0.7013578,3.932128
0050eebd18,-2.9471464,0.1981884,3.1996331
426cb788e5,-2.7043724,1.4549958,1.3338894
d30d23e543,-0.33915478,1.3910332,-0.9597119
04a204382a,-1.0869133,0.82818437,0.5358241
2bc1a7126b,-2.5045013,-0.1757843,3.1781394
a2fb29c072,-1.261721,1.8540704,-0.4567906
a2bbae6c4c,-2.4704587,0.16571346,2.790208
0ce30035ac,-0.49202698,1.3617158,-0.76909316
b3505b0aa7,-0.8696876,0.6141354,0.5444302
99fcc18a8d,-3.0737302,0.90278953,2.4782484
2b6bc6920b,1.3796543,0.34655386,-1.7010839
d40dd3b17b,1.654293,0.008244924,-1.5025426
5aa8a5280f,0.07768901,0.82417476,-0.76508826
7dd57c2598,0.32770756,0.41655886,-0.5143459
142108215,-2.4397936,-0.7016989,3.8641887
f4aba8da1c,-2.2697926,0.6220174,1.8320991
9cf9045a3c,2.8544254,-0.50009185,-2.3303273
1962095a32,-2.0958552,0.91564095,1.4690814
9acf7846ab,2.5842361,-0.1861976,-2.4469967
e4d58eb70f,1.6875595,-0.2505492,-1.356402
791b4a40af,-2.3887427,1.0193751,1.5281583
0c415791d1,-1.782568,2.3170147,-0.44484732
3bd0bff670,-2.9823537,0.062355295,3.410644
c7f27553b8,-2.1508512,0.8433931,1.9117179
a717783c80,0.98010904,0.7652725,-1.7277066
5a2add1cd8,2.806066,-0.4619434,-2.3755584
5999397144,1.3319365,0.34561217,-1.7028959
54a3eab849,-1.1706033,1.4222109,-0.09050589
77b6b38e7e,-1.7912729,1.0161219,1.2158462
dd6ea8c37a,2.849938,-0.3907085,-2.3778658
af08dd0be5,-0.9119944,1.551695,-0.6909301
3cd447856a,1.3956928,0.76645374,-2.3387241
d7765a3fd6,-1.3752337,1.0211742,0.61449754
509033a1ff,-0.9086938,0.87973154,0.07289071
b09f14d65a,1.8971187,0.27103192,-2.1894956
3160620b36,1.165901,1.0093513,-2.3185275
b2e3ebc647,-0.9932255,1.56225,-0.30008236
1f9644b008,-1.3964798,1.6295846,-0.3425693
1fee7a1358,-1.3259234,1.8621756,-0.45051882
42d3659c3d,-0.09576507,1.2695329,-1.0414804
8746563ae3,-3.193047,-0.10396197,3.8381286
01fb29c047,2.096664,-0.29893738,-1.7190497
065e4c2dba,0.17835177,0.26297128,-0.40114287
d0380dbe70,-1.5183222,1.848965,-0.2595369
d0c092c3ee,2.742159,0.12209241,-2.8554077
ed92ed183a,1.3059552,0.20881131,-1.3524426
75d0302de7,-3.4150662,0.26063496,3.6102872
96c5092f80,-2.8740695,-0.23021492,3.645486
ddbc8dba62,-2.8154917,0.7450364,2.51661
80b61dc4e6,-1.8347416,-0.3206104,2.7735572
37897b1693,1.2767346,0.3966518,-1.8183355
7a4af13b01,1.4799925,0.38598812,-1.7907094
000ceaec55,-0.3523748,1.0351105,-0.44877458
97cd2255be,-1.3540708,1.5747677,0.10827855
bebfd966a0,-3.2408047,0.68633974,2.8576338
bebcdc05ad,-2.7196617,-0.12113001,3.3356936
e2ea1af68e,-1.2160275,1.2789248,0.15459985
25c3c99b1a,2.2118669,0.2696346,-2.2974823
ee27c73f40,-2.341244,-0.9574596,4.1768785
f90a6f5da0,1.9178656,0.06417616,-1.5553223
49e9fe8b96,0.86665523,0.43223977,-1.2832756
b34a3e3d72,-2.6132455,0.9568167,1.9988399
0a96d05fdf,0.19106774,1.5339794,-1.6684281
ab3f55a84d,-0.87376887,-0.25171924,1.6149536
0437867c21,1.6997739,0.14214423,-1.6027962
80ea9ba96f,-2.4240937,-0.6564737,3.802041
4914c3c579,-2.616878,-0.57372594,3.9212728
33bb4fcc72,-3.0710244,0.17393096,3.2912362
f0da745521,-2.3325772,-0.5900962,3.849528
351d279fba,1.3059047,0.22739045,-1.6230218
b5237966b8,-1.2092432,1.128688,0.2717698
55cec41587,-0.22221173,1.343121,-1.2272791
2cbc372326,1.6191932,0.127367,-1.7543522
8997a62a75,-2.4259117,-0.8589422,4.202499
bce5834e03,0.8908215,0.110842735,-0.81531656
a9b9f7a878,-2.9269567,-0.11621571,3.6396267
d72edc0bb2,0.50707895,0.728674,-1.341282
2fdd2501d1,-1.2297935,1.2154691,-0.10864147
5fcaa99ec8,0.0417102,0.625106,-0.63359207
3dfd82c60f,3.0939054,-0.4532919,-2.5459461
16f31448e1,0.95851904,0.4849608,-1.485243
bab04dc463,-2.0602357,0.69564795,1.7510725
109b636fa5,1.7678444,0.5198247,-2.369776
cc29d748cb,-0.6052777,0.7093621,-0.0061646476
bf4b4c0f0b,0.6040239,0.5256578,-1.1558548
64b297c15e,-2.8700104,-0.30528998,3.9259348
bc1fbaf4a1,-3.2710161,0.50455976,3.1881583
f59d8d766f,2.8328192,-0.40637898,-2.3107758
8a1bf14c15,-2.5991178,0.51114273,2.3463402
acfcaea70b,-1.9612286,1.9358971,-0.10751974
97e53162ff,0.8487559,0.7576246,-1.4545387
c0b7788e74,-1.5141121,0.7287614,1.119439
15c531b290,1.1323355,0.4111718,-1.5997001
23efa13d7c,-3.176488,-0.07466698,3.8158581
c44b286776,0.6915877,0.80747175,-1.5450135
29ed43caca,-2.204885,0.4287722,2.1253338
6693f9c143,-0.22113422,0.9246361,-0.5785425
94e0c7c638,-2.7447395,-0.6332445,4.138493
6114b48cb9,0.23626533,0.44166493,-0.51866597
32463a2751,2.5583453,-0.10438944,-2.2343862
65ed990460,-1.0367336,-0.2607321,1.8551975
505f50a90d,2.0583348,0.3476764,-2.3708797
481e268403,-3.2494764,0.61244,2.8790152
5ce968f9be,-2.3569145,-0.2525885,3.1701841
52ad93b3fe,1.8060787,-0.06496955,-1.6896931
e892068fd3,-2.5554218,-0.4899825,3.8991764
226adfd977,-2.4958608,-0.12627074,3.2127113
47f11efc72,2.304004,0.070407115,-2.44025
d7b1ac80c4,-1.9485255,0.31930357,2.0745835
401cc22f49,-0.48321244,1.6698151,-1.2061406
583bae2083,-2.6029835,0.7139759,2.2634702
f003be5308,-0.5166904,1.0907154,-0.498391
49ce2570e5,-1.9070177,1.0937848,1.0081192
0693a85163,1.5082985,-0.17459352,-1.2988858
4b273cd32a,-2.1136951,-0.41297525,3.0730026
22003c0e96,-1.8608174,0.9216417,0.9810009
0fe049b7ea,-1.9799496,0.5031304,1.8224239
3d1184dabd,-2.9358628,-0.23824093,3.819962
c2392d49e0,-0.8098041,1.9947617,-0.9240472
a25ccabf06,1.2912205,0.7900656,-2.2720518
9b3fcf1668,1.2907476,-0.095132686,-1.1545873
d7746b6b68,-3.3432543,1.1989453,2.3337266
86c20cf6ee,-2.073627,1.2030227,1.2217795
393b22b6c0,-2.8013341,0.90709496,2.2281535
3c03dc0dd0,-0.98816615,0.18859921,1.0345513
25e2db9995,-2.4159782,1.0996141,1.4783316
d17a3a37e1,0.35024816,0.69021255,-0.9516976
58f1b52257,-2.318009,0.3990299,2.324423
32489d483d,-0.36271682,0.56091136,-0.28845945
00d907ce33,-2.6039748,-0.73682773,4.2152104
a7f2db128a,2.14102,-0.14995158,-2.0288253
d39e6da95c,2.0849495,0.12521292,-2.345242
09fea0f3a7,-2.6184142,-0.6042686,4.0298653
31eb8ebd2a,-2.6212716,-0.51213396,3.9222624
4dda8fd71a,-3.1743808,0.9981829,2.362302
e4d6a48aa7,1.0387483,0.83879757,-1.9349467
d0b52412b8,-0.34964195,1.3250935,-0.95453405
14acfa72dc,-2.1159966,1.5710545,0.5656149
c6d6fbb9a6,-1.9552219,1.7413108,0.51622033
797f9cddc0,0.6870862,0.8566294,-1.6660767
4c5672e236,-2.2111745,0.3906607,2.126836
d35f126ad0,-2.845548,-0.26667178,3.687352
efdff6dde7,1.3697203,0.1304741,-1.403284
4dd3339756,-0.06848155,1.0599425,-0.7400825
dd3cd66574,-1.5142815,1.1253033,0.6537573
e83b4e9bf0,1.96492,0.08270373,-2.044447
7a27c3a84d,2.152,-0.026817068,-2.275991
19de569235,0.2020379,0.54166335,-0.59884816
66f1863628,-2.6776323,0.41096735,2.521913
3690fcb40e,-0.13727205,0.41379184,-0.1738587
bad6311330,-2.720201,0.49704564,2.5996904
75499e3bd1,-2.382069,0.41257763,2.218174
27d6472b81,2.3008695,-0.10769907,-2.1815994
80995dff29,-1.0015352,1.5506926,-0.49161085
ca2d9efd4c,-2.16191,0.6210507,1.7473894
12bb670169,-0.11322732,0.49851125,-0.36034027
70b4033f03,-1.3593247,0.97302693,0.7698579
8df42cd45a,-2.8110385,0.52087474,2.6270866
82bc030c0d,1.3041476,0.46336395,-1.6330029
9d6473d14d,-3.0843902,-0.13248974,3.9388394
146257b271,-2.6404662,-0.51991457,3.810206
2fbae49319,-0.44964018,1.5678123,-1.0327595
b56108fc36,-2.7011964,-0.15577547,3.5301604
ed54440a2e,0.79144394,0.65988004,-1.5251378
c135b2cef2,-2.6649666,-0.56356335,4.0100865
48c3502151,0.7432892,0.5520452,-1.3466698
5e6040afd3,-0.49391592,1.4020579,-0.90545356
3ea60172a0,0.78158534,0.83860385,-1.6410728
96e1deb162,-1.7946861,0.60014904,1.3923703
819626535b,-2.6123478,-0.3672725,3.530804
fec3cae0c2,-1.4385023,0.4832235,1.1795532
89d9167173,1.5442512,0.16135843,-1.717246
dd911923ea,1.185185,0.69200337,-2.0443015
4f8c391159,-1.3732722,1.6915224,0.015095316
403847cf44,-0.9142794,0.41923565,0.6168768
dad1d09bfb,-0.55306494,1.2686116,-0.7699473
56f5217a16,-2.5326328,-0.58591133,3.7456384
4a9ef1f9d8,-0.39382786,0.113417804,0.34599862
5a42a51462,1.0863495,0.55755043,-1.7151529
c5a584d398,-3.0698767,1.5580978,1.5864391
fee936fdc3,1.4545213,0.5740073,-2.0647674
2813c4cf7e,1.7010741,0.13858674,-1.8362784
2246ed3d84,-2.802077,-0.012779623,3.277328
1b1243d0b5,-2.5870848,0.78492963,2.1480622
09042bf466,-1.6454885,0.2955299,1.5769438
40e3087f9c,-1.099896,0.8708228,0.40470675
ad94e8b662,2.404955,0.024551608,-2.5344386
fc0b053a31,1.0571661,0.33395803,-1.1924119
9f2a0b0b2f,0.93951714,0.19958243,-1.2162449
7516f86838,2.485763,-0.0330282,-2.5330997
2492330594,0.2127395,0.06428526,-0.18299738
9aa7d6a58a,-1.8407271,0.13858707,2.026118
083e4f782b,-2.7648506,-0.09786534,3.3690722
ba5e02305b,2.596942,-0.08149202,-2.440412
9f4bb12e13,2.7935188,-0.52247876,-2.2834291
7a01848c2e,1.6775731,0.43494934,-2.232886
ae285917c7,-1.4028102,0.57314986,0.99046206
5575fdaf3c,-0.16112995,1.0687534,-0.8330942
af3fbd5681,1.3412924,0.4974544,-1.6457522
db7211afbf,-0.50639164,0.9448787,-0.53441447
23602f214f,0.910616,0.21102846,-1.0781878
c3459bc0bb,0.22716117,1.6017444,-1.6982515
f02eed05d0,1.1659137,0.20052575,-1.0702236
ff7126ea72,2.901307,-0.45600218,-2.62009
567ef8c2ed,-2.691248,-0.34992188,3.7423077
d50a4dc3bf,0.027167182,1.0577157,-1.3760339
d6bd94911e,-2.6491866,-0.36410594,3.8546152
23bf2d69d2,-3.426419,0.76604617,2.9006124
